port,jdate,P,Y,D,R,E,PE,vwret,n
B,2003-11-30,1014.6737373226929,0.019167753682340645,19.449016264941392,0.03671529346490961,37.25404403693927,27.236606482683936,0.01006906851104817,524.0
B,2003-12-31,1057.010556925798,0.01869359605712208,19.759328379284515,0.0384364024644994,40.627683175224625,26.017003046099834,0.04853898026814223,525.0
B,2004-01-31,1074.9515760613936,0.018406604668033583,19.786208697841705,0.03999889713834301,42.996877519579385,25.00068930754089,0.017381394922539668,525.0
B,2004-02-29,1091.01552946181,0.01837707039053648,20.04966918208811,0.04142100091501825,45.19095524413675,24.142342722515533,0.014408239821943256,524.0
B,2004-03-31,1075.096906641092,0.018880398421787046,20.298257939414608,0.04276391980492766,45.97535789812545,23.384198748889492,-0.015298580110757123,523.0
B,2004-04-30,1069.0185061210361,0.01932860018253631,20.662631292545754,0.04429105739817571,47.347960014318865,22.57792111418836,-0.012792503965152035,521.0
B,2004-05-31,1081.671958342659,0.020054871921111897,21.69279258522031,0.04587334021222935,49.619905743081176,21.79915383038557,0.011552031147297099,521.0
B,2004-06-30,1096.1731979503868,0.019838671711860704,21.746620213478224,0.0471545122514557,51.689512492468886,21.206878244597455,0.01584767775189125,521.0
B,2004-07-31,1064.2161019072428,0.01974004222085936,21.00767078376734,0.04865300527015915,51.77731161468131,20.55371491333836,-0.034585072261115304,515.0
B,2004-08-31,1067.2125336344213,0.019453282656437056,20.76078707128274,0.05019963850365689,53.57368339501972,19.920462174785442,0.0036127063291040277,515.0
B,2004-09-30,1077.384364535746,0.019405245414799224,20.90690799988366,0.051414964812332875,55.393679191962995,19.449590282713384,0.011567163827107079,515.0
B,2004-10-31,1091.6068371471886,0.019304207030651038,21.0726043803635,0.05278652067738687,57.62212688064695,18.944230215733622,0.013818795741720723,512.0
B,2004-11-30,1129.470585259207,0.03147971582700983,35.555413058926305,0.054023536176513766,61.017995023058944,18.510450643820327,0.0404247577925402,511.0
B,2004-12-31,1168.0133294865598,0.031142230435275073,36.374540258343316,0.05443708152807314,63.58323684313601,18.369831224039835,0.03463822375878885,509.0
B,2005-01-31,1138.8177607423063,0.03191890038442293,36.34981066114526,0.05503856380627678,62.67889398833667,18.169078748489376,-0.024551362679308318,509.0
B,2005-02-28,1158.2859476372523,0.019360003551108576,22.424420059456367,0.055636571626892194,64.44305909014268,17.973789016083902,0.020430122756951066,509.0
B,2005-03-31,1137.2427579297155,0.020257706648373675,23.03793017812761,0.05625682466656165,63.97766643616902,17.7756211077869,-0.016173712744224893,506.0
B,2005-04-30,1115.8219246251313,0.02076493076247072,23.169965008087672,0.05693947745678929,63.534317322983895,17.562507502090945,-0.017722090040001123,505.0
B,2005-05-31,1148.6052707141437,0.020414776697771083,23.448520115512146,0.057492593103807194,66.03629546605657,17.3935449075053,0.03347105380727139,505.0
B,2005-06-30,1148.1587331019953,0.020021971139982133,22.9884010182866,0.0580290814641768,66.6265966569817,17.23273873665107,0.0012286290962558839,504.0
B,2005-07-31,1189.8162456833586,0.019127320562541468,22.757996741705195,0.05815696902957218,69.19610655108893,17.194843828458648,0.03703277518326379,511.0
B,2005-08-31,1180.5390491089288,0.019723091040699994,23.283879142676803,0.058325236591471256,68.85521934474878,17.145236923843484,-0.008455336124180821,508.0
B,2005-09-30,1188.0795989996209,0.019589584190479292,23.273985329593952,0.05873652686890727,69.78366928904181,17.025180978641746,0.00795854379285168,509.0
B,2005-10-31,1174.47609753164,0.020578227046042365,24.168635795155886,0.05935681276547464,69.7131578187109,16.847265771346432,-0.014172341546670105,506.0
B,2005-11-30,1218.930253094761,0.02022025988804621,24.64708650297801,0.059964593840178625,73.09265754633347,16.67650751817418,0.0374557636544597,505.0
B,2005-12-31,1216.730283094712,0.02074263565753158,25.238192955718866,0.06091028290564835,74.11138576316851,16.41758915401898,-0.0002497232615793526,503.0
B,2006-01-31,1243.306902931782,0.02106562852406619,26.19104135856814,0.061637821280788214,76.63472868007948,16.223805112198022,0.024432732389840367,502.0
B,2006-02-28,1246.6735836211938,0.02155162164198308,26.867837385259126,0.062440508493673025,77.84293248693693,16.01524433615604,0.0015062281976455799,500.0
B,2006-03-31,1260.383402540603,0.02144770491494244,27.032331297381965,0.06308700968587609,79.51381992399648,15.851123788862667,0.013134219217608304,499.0
B,2006-04-30,1272.5893809253805,0.021814868700942975,27.76137025510148,0.06361145628984488,80.9512637796556,15.720438712226793,0.011543236487335629,494.0
B,2006-05-31,1236.6708131332655,0.0213970944162042,26.461162150376506,0.06449811093591017,79.76293129667158,15.504330056948024,-0.025801619340840333,491.0
B,2006-06-30,1235.956776441577,0.021571226107153254,26.66110308328952,0.06522792948415987,80.61890145920073,15.330856090454976,0.0017712734727930097,488.0
B,2006-07-31,1236.4801437598376,0.021275307797711196,26.306495644248734,0.06617232421463923,81.8207649578397,15.112057976932464,0.004530769566137341,504.0
B,2006-08-31,1257.4332619163017,0.02098398087478721,26.385955519372974,0.06697836353155805,84.2208221333029,14.93019457737023,0.02443437982913776,501.0
B,2006-09-30,1287.0119380825065,0.020561161302932576,26.46246005771429,0.06756381730705309,86.95543945660279,14.800821502659657,0.02476021966310426,502.0
B,2006-10-31,1326.7980603982458,0.020140214941974145,26.721998121015062,0.06779862801038254,89.95508814183773,14.749561006556977,0.03333320854875222,501.0
B,2006-11-30,1347.765213950302,0.020850373585699068,28.10140821667343,0.0681323577169347,91.82642167530301,14.677313885931238,0.018456980790958633,498.0
B,2006-12-31,1364.8309560732741,0.020981131204630455,28.63569736151459,0.06833264127745842,93.26250412572564,14.634294552432005,0.01386428266126103,495.0
B,2007-01-31,1394.3777767040108,0.02083915457101765,29.05765401912681,0.06852870291692045,95.5549004137052,14.592425617807653,0.01690000948303663,494.0
B,2007-02-28,1362.5609806479592,0.02121871448634133,28.911792418598303,0.0688854317829523,93.86060148253758,14.516857543273455,-0.019557025986312666,494.0
B,2007-03-31,1375.9350320774245,0.0221035842284507,30.413095874399364,0.06910384753713657,95.08240467768346,14.470974274805721,0.010494666715889753,491.0
B,2007-04-30,1433.2855194283757,0.02166319254101139,31.04954017362042,0.06911624805868348,99.06331749973062,14.468377958695692,0.043314762412298556,490.0
B,2007-05-31,1475.127434840026,0.020943001666660247,30.893596326390917,0.06879912879014422,101.48748237143401,14.535067777533463,0.03458754580915869,489.0
B,2007-06-30,1445.9672288377233,0.02144935418976213,31.015063238129155,0.0686279451070403,99.23375960725446,14.571323655987092,-0.016851420094684016,488.0
B,2007-07-31,1402.369880460231,0.021438450527999427,30.06463730420313,0.068619883939128,96.23045843690986,14.57303543222384,-0.02831610674701266,494.0
B,2007-08-31,1418.8761565373125,0.021711210228202823,30.805518522366008,0.06867065374408148,97.43515325130693,14.562261249568882,0.01641505735233049,494.0
B,2007-09-30,1470.386452310837,0.021174724581734142,31.13502815639514,0.06806260867179574,100.07833769994255,14.692354870235631,0.03860990727409259,492.0
B,2007-10-31,1496.1841341295099,0.02091961336900013,31.29959361482158,0.0675736598018308,101.10263768056429,14.798665677316276,0.02071943673304561,486.0
B,2007-11-30,1426.2223780266586,0.0219157802647843,31.25677624555038,0.06742171514385002,96.15835890309776,14.832016626489166,-0.039835291064824016,486.0
B,2007-12-31,1415.9661470947676,0.022791298400166096,32.27170698297033,0.06620235206770869,93.7402893859248,15.105203497562238,-0.005490687537272213,489.0
B,2008-01-31,1329.087490370143,0.0234386867684482,31.1520653746487,0.06538832036494577,86.90679861336469,15.293251064085952,-0.05981175695047373,488.0
B,2008-02-29,1278.9537291842607,0.023673838781185345,30.27774439330397,0.06460103845756847,82.62173904448304,15.479627322969804,-0.03055427368673577,488.0
B,2008-03-31,1270.3151962642896,0.023834010894570216,30.27670622730118,0.06334807239881746,80.47201902226823,15.78579997990069,-0.005650620366626892,487.0
B,2008-04-30,1325.272787792168,0.022893971035400723,30.340756817718663,0.062156930573794934,82.37488866213745,16.08831051933564,0.04519876598074976,485.0
B,2008-05-31,1338.3043121423023,0.022793895323939713,30.50516840254878,0.06107352833953104,81.7349663345395,16.373706042339958,0.014562300945682796,485.0
B,2008-06-30,1221.5220365049033,0.02502324693076318,30.56644755083091,0.059190504194462874,72.30250522537231,16.894601821850127,-0.08462149997840636,483.0
B,2008-07-31,1209.9304583319094,0.024540824352251987,29.692690856363132,0.05719699788106734,69.20438986144906,17.483435093557734,-0.010085743489966692,486.0
B,2008-08-31,1222.827494644117,0.023602972420098074,28.86236363062272,0.05521837568371326,67.52254799563272,18.109913368838036,0.012673718841461842,485.0
B,2008-09-30,1113.5361465719993,0.02611542830964138,29.080473405995367,0.053017038742620114,59.0363890241156,18.86186070962325,-0.08907906316840651,483.0
B,2008-10-31,927.6498841108148,0.03110550639893589,28.855019406181086,0.0515495924489009,47.819973461182656,19.398795460725726,-0.16336279746890514,482.0
B,2008-11-30,859.0206764659081,0.033612882487679366,28.874161052535403,0.05015629584799606,43.08529518836979,19.93767647895302,-0.0710593541316133,479.0
B,2008-12-31,867.6682183462635,0.03240579358955027,28.11747718794185,0.04871360818114214,42.26724961974957,20.52814474923491,0.01272325076616582,480.0
B,2009-01-31,798.3595530514646,0.0349383022905588,27.89332740106748,0.04430353798984888,35.37015278817433,22.571560768558182,-0.07829618598244215,475.0
B,2009-02-28,714.9007522852718,0.03889365672527584,27.805104452024818,0.03978677621172355,28.443596244766923,25.13397905571803,-0.09903280236281273,476.0
B,2009-03-31,777.1765983103476,0.03951715577794207,30.711808702401115,0.03582769010119422,27.844442318163438,27.911372381962956,0.08690301366457939,475.0
B,2009-04-30,848.4659081596972,0.036360342918492945,30.85051137533713,0.03241478953127439,27.502843837458173,30.85011547075391,0.08980713801660505,474.0
B,2009-05-31,896.6527183258607,0.03322775324484764,29.793755270853577,0.0293862974098025,26.349303454031613,34.02946570827348,0.05285769643537067,474.0
B,2009-06-30,899.5829561860846,0.032000978680703146,28.787535002434808,0.027267622627485704,24.52948857140016,36.673530863376484,0.002454793216027346,473.0
B,2009-07-31,966.5815029879232,0.0299050196200348,28.905638811216566,0.02536985527075721,24.522032838194587,39.41685868238511,0.07356018285166997,487.0
B,2009-08-31,999.195180245985,0.02901929186759712,28.995936568254546,0.02378714259894169,23.767998236686488,42.039517602441705,0.031850866855615015,488.0
B,2009-09-30,1039.2018019998172,0.028027178869660076,29.12589478632195,0.023209014828865376,24.11885003279738,43.08670606545031,0.036298299268268164,487.0
B,2009-10-31,1020.2989755715391,0.02870964552736598,29.29242192059353,0.02236230875039918,22.81624070944675,44.71810183651764,-0.01693515846616071,485.0
B,2009-11-30,1082.5003910648709,0.027806042370322737,30.100051739840733,0.021354521180205366,23.116277528575377,46.828490864358635,0.0594882301444098,483.0
B,2009-12-31,1102.4281664503799,0.02763237792126729,30.46271172640666,0.021548562508197117,23.755742255553145,46.40680786106257,0.020277419507271254,482.0
B,2010-01-31,1065.1689469376515,0.028638187083085475,30.50450757749361,0.024559820575478872,26.160358219360496,40.716909837624165,-0.03438093527057791,480.0
B,2010-02-28,1098.6194406501404,0.02352200182042449,25.84172848292634,0.027385682462933065,30.086443149249884,36.51543105977056,0.03157692833537266,478.0
B,2010-03-31,1165.137606573539,0.022072426389790137,25.717414055070698,0.0308583416255765,35.95421430445281,32.406148461690634,0.0586864034147646,476.0
B,2010-04-30,1180.2024032874488,0.021898125476813978,25.844220315225968,0.03391554291110673,40.02720525248676,29.485006406089934,0.012273470293259085,475.0
B,2010-05-31,1084.8791181207584,0.023935676591120808,25.967315711798825,0.036992984806637964,40.13291673368001,27.03215231825688,-0.07835085779741872,475.0
B,2010-06-30,1028.654624969338,0.025420500796632182,26.14891571349244,0.04076349208713225,41.93155466532961,24.531754979737578,-0.05086622257305251,473.0
B,2010-07-31,1098.360569489502,0.023257914857349866,25.54557660785715,0.04454423543828597,48.92563180347024,22.44959398585828,0.07147791500601981,498.0
B,2010-08-31,1045.5227150974406,0.024498334775208432,25.613565489541966,0.04833674754547573,50.537167532725334,20.68819378174316,-0.04501818348515448,497.0
B,2010-09-30,1137.330032264097,0.02267479991269838,25.788730916291197,0.05181169061070089,58.92699175392586,19.300663387221448,0.09147519342335002,496.0
B,2010-10-31,1179.9033598536168,0.023774005288548505,28.051028717136038,0.054660102946266755,64.49363911624472,18.29487955745424,0.04064305935076438,497.0
B,2010-11-30,1182.141625379208,0.022003642260157896,26.011421425685686,0.05731556677044145,67.75511726154019,17.447267057572148,0.0006127355295583675,497.0
B,2010-12-31,1258.5043898203378,0.02166574518332728,27.266435421946223,0.05989727134880495,75.38097893073098,16.6952513441992,0.06587971892848574,498.0
B,2011-01-31,1289.9914903157255,0.022405048226384332,28.90232155214923,0.06216573224888614,80.193265590309,16.086032671446855,0.022482989719857644,499.0
B,2011-02-28,1326.1978675384094,0.021748171428077827,28.842378570776578,0.06438975575456382,85.39355677302156,15.530420767734034,0.03230179643537561,499.0
B,2011-03-31,1326.8571447047475,0.022193326833558402,29.447374273874555,0.06614924299522666,87.77059568502696,15.117330973419609,0.0017196258157284577,498.0
B,2011-04-30,1365.0814343885709,0.021782117873901777,29.734364711326766,0.06780009648395825,92.55265296000523,14.74924154771083,0.030952806732855515,496.0
B,2011-05-31,1344.939842038583,0.022629185897355866,30.43489370625153,0.06919485329633997,93.0629150622624,14.451941905524562,-0.010940238450331359,496.0
B,2011-06-30,1318.9909837237592,0.023403867060097346,30.86948963653788,0.0698966367861105,92.19303371349417,14.30684001377753,-0.016611751696782803,494.0
B,2011-07-31,1289.1571410258764,0.023744814549153656,30.610797238376563,0.07047808434194698,90.85732571524495,14.188807901590797,-0.019987920731056336,495.0
B,2011-08-31,1214.3083221885965,0.025371774269278446,30.809156643875315,0.07117042412482054,86.42283830846165,14.05078039504407,-0.05449498991404192,496.0
B,2011-09-30,1126.0780796074268,0.027514235943862004,30.983177973529763,0.07275964317626517,81.9330392608503,13.743882684765678,-0.06932982750034858,494.0
